"Hidden = Leaky, Out = Leaky",,,,,,,,
,Accuracy:,Precision:,Recall:,F1-Score:,Hidden Sparsity:,Output Sparsity:,Dead Neurons (hidden):,Saturated Neurons (hidden):
seed = 12,96.47%,96.46%,96.46%,96.45%,97.04%,92.75%,120,3
seed = 36,95.91%,95.98%,95.88%,95.87%,96.81%,92.05%,155,3
seed = 42,96.45%,96.44%,96.45%,96.41%,96.84%,91.66%,117,3
"Hidden = LIF-HIP, Out = Leaky",,,,,,,,
Target Firing Rate,Accuracy:,Precision:,Recall:,F1-Score:,Hidden Sparsity:,Output Sparsity:,Dead Neurons (hidden):,Saturated Neurons (hidden):
0%,96.63%,96.66%,96.60%,96.62%,97.21%,87.80%,76,0
0%,95.64%,95.81%,95.57%,95.62%,96.92%,82.80%,50,2
0%,96.16%,96.21%,96.14%,96.13%,97.10%,85.97%,70,2
5%,96.13%,96.15%,96.10%,96.07%,97.04%,92.12%,87,0
5%,96.61%,96.59%,96.58%,96.57%,96.98%,91.44%,78,0
5%,96.48%,96.50%,96.44%,96.45%,96.94%,92.04%,75,0
10%,96.32%,96.36%,96.30%,96.31%,96.69%,93.36%,80,0
10%,96.10%,96.13%,96.05%,96.06%,96.61%,92.88%,91,0
10%,96.17%,96.16%,96.15%,96.12%,96.52%,92.98%,87,0
15%,95.97%,95.94%,95.95%,95.93%,96.24%,93.85%,67,0
15%,95.30%,95.35%,95.31%,95.27%,96.05%,93.62%,87,0
15%,95.51%,95.51%,95.47%,95.45%,96.21%,93.85%,112,0
"Hidden = LIF-HIP, Out = LIF-HIP",,,,,,,,
Target Firing Rate,Accuracy:,Precision:,Recall:,F1-Score:,Hidden Sparsity:,Output Sparsity:,Dead Neurons (hidden):,Saturated Neurons (hidden):
0%,95.57%,95.56%,95.54%,95.53%,90.60%,89.74%,45,6
0%,94.64%,94.77%,94.56%,94.58%,91.01%,89.26%,57,10
0%,95.25%,95.24%,95.23%,95.19%,90.55%,89.02%,41,4
5%,95.70%,95.75%,95.62%,95.66%,97.26%,94.42%,93,0
5%,96.30%,96.30%,96.28%,96.26%,95.97%,94.18%,69,0
5%,95.90%,95.94%,95.85%,95.85%,96.65%,94.24%,91,0
10%,93.12%,93.19%,93.04%,93.05%,95.12%,92.81%,72,0
10%,91.84%,92.14%,91.74%,91.75%,93.24%,92.45%,66,0
10%,91.49%,91.97%,91.41%,91.35%,95.28%,91.93%,93,0
15%,91.32%,91.63%,91.24%,91.21%,92.72%,92.11%,88,0
15%,90.73%,91.36%,90.68%,90.56%,93.47%,91.44%,79,0
15%,90.56%,91.26%,90.49%,90.39%,93.03%,92.82%,72,0
